Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
the emptiness of everything,4,নেবার পর পাঁচ পর্যন্ত,2,টপ টপ করে পানি,3,দুই চোখে দেখতে পারি,3,দেবে টাকা ভিক্ষা করার,2,many strange things Dracula,2
মোহাম্মদ চার খলিফার শাসনব্যবস্থার,4,সময় নেই এখন আপনারা,2,বন্দী হইয়া মনোয়া পাখি,3,আমার কাছে জানতে চাইল,3,মাটিচাপা দিয়েছিল বস্তির দয়ালু,2,মেটে তিতির Grey Francloin,2
শ্রীলঙ্কার তামিল ভাষা জাতিকে,4,করে লেখা এখানে যাবতীয়,2,তোমাকে নবী সাঃ বলেছি,3,মাথা থেকে অন্য মাথায়,3,কেউ মরে লোকজন দল,2,মাছ ধরার ট্রলার ভাড়া,2
চৈতন্যকেই প্রাণশক্তি বা আত্মা,4,বলুন আরাম আরাম আরাম,2,কিছু রাসুলদের কথা বাকিদের,3,হেফাজতে ইসলামের ১৩ দফা,3,না যায় সে একটু,2,চুলু ওয়েস্ট পর্বত জয়ের,2
অটোমান সুলতান দ্বিতীয় বায়োজিদ,4,মাথা ঝিমঝিম করতে থাকে,2,বিশেষ ভাবে না বললেই,3,আন্তর্জাতিক শিশু চলচ্চিত্র উৎসব,3,আঘাত হেনে সুবিধা করতে,2,হবে সমুদ্র থেকে তাতে,2
প্রথমে শব্দরূপে দেখা দেন,4,এটা এক দিক দিয়ে,2,উদ্যোগে শীতবস্ত্র বিতরন কার্যক্রম,3,হাজার পিএইচডি বের করতে,3,সমুদ্রের দিকে যাচ্ছে কেন,2,মাছের সন্ধানে একবার দেখে,2
হই গাউসুল আজম মাইজভান্ডারী,4,বলে বেসামাল মাল তুমি,2,বিলিয়ে দে শোন আসমানী,3,আমার কেন জানি মনে,3,ভেউ ভেউ করে কাঁদবে,2,মেজর জেনারেল রাহাত খান,2
রাত ১২ টা বেজে,4,ছাড়া আর কিছুই না,2,with magic Boy you,3,এখন সেই অবস্থার পরিবর্তন,3,করে সব খুলে বললাম,2,এক হইয়া গেল বিভূতিভূষণ,2
রাহাত কবির এর মৃত্যুর,4,আমার শরীরটা বেশি ভালো,2,their human traits became,3,যে রকম আছে ঠিক,3,বৃষ্টি পড়তে শুরু করেছে,2,কালো পাখি তার পিছু,2
অগ্নিদ্বারা এই দেহকে পক্ক,4,সব মিলিয়ে বলা যায়,2,নিসা ৭৯ নং আয়াত,3,মোড়ক উন্মোচন করে দিতে,3,জাফর জয়নাল দীপালী সাহা,2,Jerdon কে প্রথম আবিস্কার,2
প্রাকৃতিক শক্তিকে চৈতন্যময়ী মনে,4,তোমরা সকলে কম্প্উটার নিয়ে,2,নিসা ১৬৪ নং আয়াত,3,পরীক্ষার প্রশ্নপত্র ফাঁস নিয়ে,3,চা আর একটা পরোটা,2,হা রে রে রে,2
ঘনীভূত হয়ে প্রথমে শব্দরূপে,4,কিছু কথা থাক না,2,৭৯ নং আয়াত আল্লাহ,3,আমার দিকে তাকিয়ে বলল,3,জেনারেল ওসমানী আর জেনারেল,2,না হাতে অসংখ্য মুহূর্ত,2
করে গায়ে ভস্ম ঝুলি,4,দুটো হাত জড় করে,2,উন্মুক্ত স্বাধীন মত প্রকাশের,3,সেই অবস্থার পরিবর্তন হয়েছে,3,মলিন চেহারার দরিদ্র লোকদের,2,একটা নামগোত্রহীন রূপহীন নগণ্য,2
হয়ে সিদ্ধি বা শিবত্ব,4,তুমি আমাকে ভালোবাসো না,2,লিখেছেনঃ ১০ মাস সপ্তাহ,3,শক্তি কেন্দ্র তৈরি করতে,3,কেউ বিরক্ত করবে না,2,গল্প শোনানোর অন্য জেলার,2
মহাম্মদ বিন বখতিয়ার খলজী,4,আর ঘুম আসে না,2,সাথে যৌন সম্পর্ক স্থাপন,3,ধরনের বিস্ময় নিয়ে আবিষ্কার,3,নামিয়ে দিয়ে চলে গেল,2,পাখির পায়ে পতাকা লাগানোর,2
বুদ্ধের দু জন গুরুই,4,কী অপরাধে এমন হলো,2,carry their prosperity with,3,পারে তাহলে আমরা কেন,3,দেয়া ইত্যাদি কাজ করে,2,আমি অভিশাপ দিচ্ছি নেকড়ের,2
দেহ যোগরূপ অগ্নিদ্বারা এই,4,তুই দুই লাখ থিকা,2,এই প্রত্যাশা রইল ব্লগার,3,তাহলে এই দেশে যে,3,শহর এলাকার একটা বাস,2,বসন্তের কুসুমরাজির প্রতীক হইয়া,2
এই শূন্য ঘনীভূত হয়ে,4,সম্পূর্ণ নতুন একটা গল্প,2,horse Are you ready,3,কী না আমার জানা,3,তখন ঈদের আনন্দে সে,2,ধরার ট্রলার লাবিবা প্রায়,2
মুন্ডে আর হাড়ে তুমি,4,হয়ে বসে আছে যেন,2,পুলিশ অধ্যাদেশ ১৯৭৬ ধারা,3,আছে কী না আমার,3,করে হাঁটতে থাকলো ঠান্ডু,2,তার কারণ নিজেকে মনের,2
বাঙলা বাঙালি বাঙালীত্ব আহমদ,4,flowers gone Long time,2,কোন উপায় না দেখে,3,হলো কী হবে লিখে,3,হবে না কিন্তু সেই,2,টুং টাং এর ইচ্ছা,2
এবং আনন্দস্বরূপ এই শূন্য,4,যায় না তাই আমি,2,ব্লগার এক নিরুদ্দেশ পথিক,3,যুগ্ম সাধারণ সম্পাদক মাহবুবউল,3,না দু পাঁচ টাকার,2,লাগে এবং এই সময়ে,2
medicine is the emptiness,4,হাঁসফাঁস করতে করতে সে,2,এখন আর আগের মতো,3,চোখে পানি এসে যায়,3,থেকে উঠে হাতমুখ ধুয়ে,2,সূর্যালোক সারারাত ধরে দেখে,2
কস্মৈ দেবায় হবিষা বিধেম,4,এই প্রতিষ্ঠানটি বন্ধ করার,2,coming at you like,3,দেশের এক মাথা থেকে,3,অবশেষে একদিন মানুষ খেলুম,2,অন্ত নেই আছে শুধু,2
is the emptiness of,4,মনে করতে পারবোও না,2,বা সাধারণের ব্যবহার্য স্থানে,3,গ্যাস কয়লা রপ্তানি নিষিদ্ধ,3,অন্য এলাকায় চলে যাই,2,ভাইয়ের রক্তে রাঙানো একুশে,2
বাঙালি বাঙালীত্ব আহমদ শরীফ,4,প্রতিষ্ঠানটি বন্ধ করে দেয়া,2,আমাদের সবার প্রিয় এই,3,পরীক্ষার প্রশ্নপত্র ফাঁস হওয়ার,3,সে বেঁচে থাকলো কিভাবে,2,টান মাছ ধরা হয়ে,2
৪০ ০০০ বছর আগে,4,অদৃষ্টের কার্যক্রম অনিদৃষ্টকালের জন্যে,2,সুরা নিসা ৭৯ নং,3,এক মাথা থেকে অন্য,3,পেয়ে গেল সে পাশেই,2,কানে শুনাইয়া দিল বসন্তের,2
বাঙালীত্ব আহমদ শরীফ পৃষ্ঠা,4,দিনে দিনে জমেছে অনেক,2,পারষ্পরিক সহযোগিতা তথা সম্মিলিত,3,কিন্তু আমরা সবাই জানি,3,ঈদের আনন্দে সে দৌড়ে,2,হিসেবে মহাশূন্যে যাবার জন্য,2
ঝুলি ছালা পুনরপি যোগী,4,একটু সুবিধের মনে হচ্ছে,2,একের পর এক সিগারেট,3,একটি ছেলে বা মেয়ে,3,কিছু না ভেবে উঠে,2,স্বয়ং উপস্থিত হইয়া অনেকবার,2
বস্তুত বুদ্ধের দু জন,4,কল্পনা করে কাটিয়ে দিতে,2,যৌন কামনা চরিতার্থ করার,3,খানিকটা অনুমান করতে পারি,3,শহর নোংরা রাখার অধিকার,2,জীবনযাত্রার সাথে একাত্নতা বোধ,2
পুনরপি যোগী হৈব কর্ণে,4,বানাবে মা দুধে মাখনে,2,divine element in them,3,এই সরকার আসার পর,3,এই জায়গা ছেড়ে এই,2,সুন্দর বড় গাছ দেখতে,2
দরজা খুলে একটা লোক,4,কী এসে যায় তাতে,2,দে আরেকটা সিগারেট দে,3,কিছু করতে পারি না,3,সিগারেট বের করে ফস,2,বাঁক লোকজন জীবনযাত্রার সাথে,2
নিজস্ব স্বকীয়তা বজায় রেখেছে,4,কালো দুঃস্বপ্ন সাদা জল,2,আন নাহল ১৬ ৩৬,3,এক হাজার ২০০ পিএইচডি,3,আলস্যের মতো আনন্দ আর,2,আসে চূড়ান্ত দিন হয়,2
শঙ্খ শঙ্খ শঙ্খমালা কোথায়,4,আকাশ থেকে খসে পড়া,2,সুযোগ করে দিতে হবে,3,পাশ করার জন্যে লেখাপড়া,3,চলেনি বহুবছর ভুল রাস্তায়,2,Blythএর কাছে পাঠিয়ে দিই,2
ভারত শ্রীলঙ্কার তামিল ভাষা,4,আমাকে যদি কেউ এভাবে,2,আমরা জানি নবী সাঃ,3,খুব জানার ইচ্ছে করে,3,আগেই আকাশ ভেঙ্গে একটা,2,দেখে সূর্যালোক সারারাত ধরে,2
জীবন রহস্য জানবার বুঝবার,4,প্রতিষ্ঠানটি বন্ধ করার জন্যে,2,মোহাম্মাদ সা সমগ্র মানব,3,পরীক্ষা দিয়েছে তাদের ভেতর,3,বড় হয়ে লিখবো বলে,2,কোথাও ব্যবহার করতে হলে,2
বাংলা সাহিত্যের ইতিহাস প্রাচীন,4,মনে করতে পারছি না,2,বেশ সখ্যতা গড়ে উঠেছে,3,আছে তার মাঝে সবচেয়ে,3,হাসপাতালের মেঝেতে মরেনি সে,2,ঘাসের আড়াল থেকে বেরোয়,2
শরীফ লিখেছেন যোগ আদিম,3,জন্যে রজনীগন্ধা ছাড়া যেকোন,2,জনি তুমি কি আমার,3,যখন বয়স কম ছিল,3,যাচ্ছে খানিক বাদে যাবার,2,আবার ফিরে আসল পূর্বনির্ধারিত,2
১০ম থেকে ১২ শতক,3,শুরু করে দেয়া যাক,2,দাম জানতে চাইলে দোকানি,3,গাইড বই মুখস্থ করে,3,কোন প্রতিদ্বন্দ্বী ছিল না,2,মিলিয়া বাউলা গান আর,2
সুফিদের সঙ্গে বাংলার সুফিদের,3,কাগজ আর কলম নিয়ে,2,you dare to do,3,বেশি কিছু চাই না,3,একটা করে মুরগী জবাই,2,করে গড়ে তোলার কাজে,2
আদিম অস্ট্রিক নিষাদ কিরাত,3,তার সাথে দেখা করার,2,প্রত্যক জাতির কাছে নবী,3,ভর্তি করে দিতে হবে,3,ক্ষুদ্রঋনের কি ব্যবস্থা হবে,2,জীবন অদ্ভুত রহস্যময় তার,2
কয় আমি কিছু নয়,3,এসো আমার জন্যে রজনীগন্ধা,2,৩৬ নং আয়াত আল্লাহ,3,কান পেতে রই এর,3,নদী পার হতে হবে,2,Pomorine Skua ভীম দর্শন,2
কালীগঞ্জের জামশেদ পীর এর,3,এই প্রশ্নের জবাব দিতে,2,ওয়াই সেরা টেনিস খেলোয়াড়,3,সেখান থেকে বের হয়ে,3,না কয়েক মিনিট পর,2,এই চিংড়ি খাওয়ানোর সামর্থ্য,2
মনে হয় এই কারণেই,3,নিঃশ্বাস নিন বুক ভরে,2,আল্লাহ বলছেন আমি তোমাকে,3,যশোর বিজ্ঞান প্রযুক্তি বিশ্ববিদ্যালয়ের,3,দিকে তাকানো থেকে বিরত,2,সারা বিশ্বে প্রতি বছর,2
শিবত্ব লাভ তথা শক্তিমান,3,পেঁয়াজে মৃদুআঁচে সবজিকুচির সুঘ্রাণ,2,কাপ কফি বানিয়ে দাও,3,ভাইস মার্শাল কে খন্দকার,3,না থাকলেও মাজারের পাশে,2,প্রচেষ্টার উচ্ছ্বসিত আনন্দের সহিত,2
কর্নেল ইকবাল মাহমুদ এর,3,শেষ হয় নি এখনও,2,do you dare to,3,রসিকতা আর কী হতে,3,খিদেটা মরার পর রাগটা,2,the end can not,2
কোনও সর্ম্পক গড়ে ওঠা,3,গুনুন তারপর নিঃশ্বাস ছাড়তে,2,সুরা নিসা ১৬৪ নং,3,একটা নিউক্লিয়ার শক্তি কেন্দ্র,3,না পুরা কবরের নিস্তব্ধতা,2,দুপুর ৩টায় যাত্রাপথে যুক্ত,2
৬৫৭ খ্রিস্টাব্দে রাজা নরেন্দ্রদেবের,3,ক্ষ্যাম নাই কুত্তার বাঘা,2,মুখ লইয়া মৃদু কণ্ঠে,3,মিলে একটা ভর্তি পরীক্ষা,3,তাও জানার উপায় নেই,2,পর শতাব্দী তাদের খাবার,2
ছিল ১২ ১৩ বছরের,3,তার মনে হচ্ছিলো সে,2,আরও কয়েক ধাপ এগিয়ে,3,কিনা জানি না যদি,3,অতবেলা ভাতও খায়নি পেট,2,ভরণা বসুন্ধরার চির কল্যাণকামী,2
আমার কি ঘর বানাইমু,3,জুতো ঝলমলে স্কুল সবুজ,2,be able to carry,3,সাধারণ সম্পাদক মাহবুবউল আলম,3,হলে স্টেশান রোডেই চলে,2,সুরমা কর্ণফুলী ব্রহ্মপুত্র নাফ,2
পূজা কাকে করা হয়,3,হ্যাপি বার্থডে টু ইউ,2,হতে পারে বিশেষ করে,3,একটি পাবলিক পরীক্ষা অনুষ্ঠিত,3,কাজে যাচ্ছে লুঙ্গি শার্ট,2,বংশের উত্থান পতন দেখার,2
হবে কাঁচা হলুদ গায়,3,নতুন জুতো ঝলমলে স্কুল,2,চোখের পানি ধরে রাখতে,3,করা যেতে পারে আমি,3,দিন পার করার পর,2,তার অথচ কি বিরাট,2
কৃষ্ণর গলে আনন্দে সখীগণ,3,হতে পারো কি তাই,2,re mine once you,3,কি না সেটা নিয়ে,3,ইত্যাদি কাজ করে সে,2,সে রাতে তুমি জেগে,2
কিছু নয় রে আমি,3,কেমন যেন ফাঁকা ফাঁকা,2,রাসুল পাঠিয়েছি সুরা নিসা,3,শুনে অবিশ্বাস্য মনে হতে,3,ক্লাস সিক্সে ওঠার পর,2,প্রথম প্রেমিকা রাফেলা বার্ডের,2
হল সৃষ্টির আদি অকৃত্রিম,3,পর আমি বুঝতে পারি,2,am Horus and traverse,3,দেখেও বিশ্বাস হয় না,3,অদূরে সমুদ্রের উত্তাল ঢেউ,2,পাখি পর্যবেক্ষণ এবং গণনার,2
নরেন্দ্রদেবের রাজত্বকালে নেপালে যান,3,দুঃস্বপ্ন সাদা ঔষধ কালো,2,পাঠিয়েছি সুরা নিসা ১৬৪,3,নতুন নতুন চিন্তা ভাবনা,3,ঈদের দিন কী খাবো,2,২১ ফেব্রুয়ারির সারা রাত,2
কুকুটেনি ট্রাইপিলিয়ানস যুগের মানুষ,3,দম বন্ধ হয়ে আসছে,2,আমার কাছে মনে হচ্ছে,3,যখন এই লেখাটি লিখছি,3,মিনহাজ তাকে বিয়ের প্রস্তাব,2,২৯ ৩০ ৩১ ৩২,2
নীল আলোর রশ্মি ঘুরছে,3,and on across the,2,হবে যদি আপট্রেন্ড হয়,3,একজন ছাত্র বা ছাত্রী,3,দেয়ালে পিঠ ঠেকে যাওয়া,2,পোষণ করেছি আমি নিজেকে,2
অস্ট্রিক নিষাদ কিরাত মনন,3,খবরের কাগজ পড়া বাদ,2,শ্রম মেধা পারষ্পরিক সহযোগিতা,3,অবিশ্বাস্য মনে হতে পারে,3,তার কবরের সাথে কাটবে,2,করতে পারে নি কখনোই,2
ওর বাবা অধ্যাপক কাজী,3,মন খারাপ করিস না,2,মেধা পারষ্পরিক সহযোগিতা তথা,3,গাইড বই থেকে নেওয়া,3,লাইন নেই কাছাকাছি জায়গার,2,মুখ আমার প্রিয় রাজা,2
প্রশ্নের উত্তর না দিয়ে,3,যায় কী যায় না,2,কানের নিকট মুখ লইয়া,3,দেশের সঙ্গে মিল রেখে,3,গ্রামে সাবিত্রী দেবীর বাড়িতে,2,কাটার আগে সবার একবার,2
করে উঠে মাটিতে পড়ে,3,হতে শুরু করলো আমি,2,you wan na play,3,পরীক্ষার প্রশ্ন ফাঁস হওয়ার,3,পরিষ্কার দেখেছে বজ্রপাতে গাছটা,2,সময় কি গর্বভরে মাঠ,2
হাত হাত জোড় করে,3,নিশ্চিত হয়ে গেলো যে,2,মন্ত্রী কুসুম কুমারীর বাসার,3,যাচ্ছি তখন হঠাৎ করে,3,নেমে কবর ঠিক করা,2,জাল খানা তোলা হবে,2
পূজা কেন করা হয়,3,চিৎকার করে ডাকতে থাকি,2,মন জয় করে নিয়েছেন,3,সুন্দর দৃশ্য পৃথিবীতে আর,3,শুনতে পাচ্ছে না পুরা,2,চেয়ে আমাদের বিস্ময়ের শেষ,2
ইসলাম বাংলা সাহিত্যের ইতিহাস,3,কোন সমস্যা ছিলো না,2,to do this Cause,3,আমরা এখনও জানি না,3,রেল লাইন সবচেয়ে সোজা,2,ভাল লাগে শৈত্যপ্রবাহের সময়,2
কপিল বেদকে প্রমাণ বলে,3,সবুজ ঘাসের গালিচা স্নেহময়ী,2,মত প্রকাশের সুবিধা প্রদানকারী,3,কী বুকে হাত দিয়ে,3,দেখেও না দেখার ভান,2,এখানে কাজ করবে দিবা,2
দিয়ে দক্ষিণ ভারত শ্রীলঙ্কার,3,আত্মহত্যা করার সমস্ত পথ,2,শিশুর যৌন অঙ্গ বা,3,হয় তখন হঠাৎ করে,3,মারা না যায় সে,2,দীঘি এবং তার রহস্যে,2
করে দিন কয়েক আগে,3,হয়ে গেলো তোমার চিঠি,2,human traits became predominant,3,তারা কেমন করে এই,3,কাজটা কতো লজ্জাজনক হয়েছে,2,উল্লাস ভরা কণ্ঠ Thats,2
নি কারণ কপিল বেদকে,3,তাতে কী এসে যায়,2,play with magic Boy,3,করা যায় সেটা নিয়ে,3,আসে গোরস্থানে লাশ কবরে,2,কাস্তেচরা Black headed Ibis,2
বাবা ইন্সপেক্টর সোহরাব আলী,3,আমি তার প্রেমে পড়ে,2,সহযোগিতা তথা সম্মিলিত প্রচেষ্টায়,3,তিনটি পাবলিক পরীক্ষার কথা,3,তাকে কবরের কাজে লাগিয়ে,2,যমুনা সুরমা কর্ণফুলী ব্রহ্মপুত্র,2
যা তাকে আনন্দিত অথবা,3,টমেটো আর ফুলকপি দিয়ে,2,বাংলায় একটি উন্মুক্ত স্বাধীন,3,জন্যে আলাদা বেতন স্কেল,3,ছেলেদের সাথে আড্ডা দেয়,2,We are in Transylvania,2
মুহম্মদ এনামুল হক এর,3,From parents প্রতি গুলজার,2,to be able to,3,দেখার জন্য অপেক্ষা করে,3,পাচ্ছে না পুরা কবরের,2,বিরাট সেই অর্ধশুষ্ক পুষ্পপত্রহীন,2
শতকের বাংলার অসাম্প্রদায়িক মুসলিম,3,অনেক বেশি হয়ে গেছে,2,আপনাকে আজ বিলিয়ে দে,3,চোখে দেখেও বিশ্বাস হয়,3,কষ্টে তিনটা দিন পার,2,২০০ টন মাছ আহরণ,2
মীননাথ এর সময়কাল খ্রিস্টীয়,3,এক হাজার শেয়ার চাই,2,like dark horse Are,3,পারে আমি নিজের চোখে,3,হত্যা করে ক্ষমতা দখল,2,মাছ ধরা হয়ে যাবে,2
সাংখ্য তন্ত্র যোগ বৌদ্ধ,3,হলো কী আমি একটা,2,নাহল ১৬ ৩৬ নং,3,কিন্তু এই দেশের মানুষ,3,ঘটলো মিনসের মিনসে মরণও,2,শোভা উঁচু ডাঙ্গার উপরকার,2
